,Mean_ACW_50,Mean_ACW_0,Mean_ACW_Nadir
auditory,2.0,6.214285714285714,5.785714285714286
dmn,2.0952380952380953,5.904761904761905,6.238095238095238
fpn,2.0714285714285716,6.142857142857143,6.857142857142857
limbic,2.0,4.571428571428571,4.214285714285714
motor,2.0,5.285714285714286,6.071428571428571
salience,2.0,4.214285714285714,4.714285714285714
visual,2.142857142857143,8.428571428571429,8.228571428571428
