subject,roi,mean,std,median,min,max,skew,kurtosis
sub-015P,auditory,4.298422832582354,2.6346848243186227,3.4330378379,0.7512838381,11.683699744,1.1695736133008354,1.2519380329221308
sub-015P,dmn,4.380813063352941,1.9179754782105303,4.2416633433,1.0515880231,9.5085913134,0.7064909526190378,0.9574286034127644
sub-015P,fpn,2.819899822035294,1.8027039322831941,2.3621644954,0.4829161407,7.9217736745,1.5703305155789045,1.8345370110145618
sub-015P,limbic,3.219887393270588,1.4684608260434229,3.2362817311,1.5094373985,6.9214488681,1.039595408624183,0.6214980965277346
sub-015P,motor,5.6094720812,2.8069627674158864,5.7670663868,2.270189928,13.0005446496,0.8172262261379815,0.442335437193615
sub-015P,salience,4.153280644223529,1.8511362253920802,4.3398170039,0.7454085926,7.7228561595,-0.026155319346426856,-0.8371493562289167
sub-015P,visual,3.867937066005882,3.433156809045079,3.0106267162,0.7192951086,15.055635608,2.078809686658503,4.035993975723123
sub-016P,auditory,3.2097475335058827,1.5804611419195698,3.356631098,0.3088345521,6.5468814069,0.1783756772056973,-0.6811943254253157
sub-016P,dmn,3.437158001535294,1.4388106405647814,3.5922370714,0.7954350702,6.5445478188,-0.0062158855642707326,-0.36895851607590924
sub-016P,fpn,4.304509808588235,2.3673598247649545,3.6363986385,1.4252023881,10.4053761691,0.952538477872325,0.2982263846555102
sub-016P,limbic,2.592484252576471,1.4686135483725757,2.122258321,0.4672805933,6.0721275557,1.0504227889664224,0.22643088126864175
sub-016P,motor,2.9880344045882357,1.6901783181506174,2.3953279494,1.0082878688,7.2509246681,1.0215909649745722,0.22389447846664723
sub-016P,salience,3.920867616476471,2.4729868894649125,2.9742287799,0.8337526649,9.2560834048,0.5646769959973157,-0.898705449055667
sub-016P,visual,5.4131209801294125,3.097202393884905,5.3304839075,0.4901018384,11.5024114944,0.19272526002417448,-0.8754318688595744
sub-018P,auditory,3.7558699868235297,1.9530468238659269,3.1325823148,1.2021963598,7.3888888565,0.21532933785789374,-1.3164229785765422
sub-018P,dmn,3.2456866279588237,2.840268121964711,2.4043371899,0.6852879271,13.1373583998,2.529740079446332,5.940193874607253
sub-018P,fpn,2.8681301938411763,1.8777530585869768,2.2358143579,0.9724201114,8.0930554749,1.4367112302040776,1.2841881918451632
sub-018P,limbic,3.319361388217647,2.4527981096259857,2.6789204968,1.2913797437,11.6718003162,2.4313491165507584,5.333561463753217
sub-018P,motor,3.6874120930705883,3.2152176655880806,3.0636677997,0.8436374406,14.1870892271,1.9525330705465034,3.910166281502553
sub-018P,salience,2.9534665139294116,1.9388578837907262,2.4938263655,0.9699973823,8.5622943288,1.440278160923704,1.808579599874494
sub-018P,visual,6.730004811635294,8.938087273010787,2.4291056399,0.7423291423,31.5801342736,1.9446787914495445,2.434797128319886
sub-019P,auditory,4.555524972629412,1.8990953797219972,4.4449394556,1.1236444138,9.1952282393,0.7251374172931672,0.5814634938013654
sub-019P,dmn,4.718778418111765,3.385218643345102,4.6696956754,1.3255043312,15.5506769089,1.8035536145112965,3.530358379024902
sub-019P,fpn,4.637353639141177,1.7020951059062785,4.3257254507,0.9897255087,8.2160499811,0.08923152141337196,-0.11839095523590526
sub-019P,limbic,5.838967150552941,3.2634570943285337,5.0377456221,1.0639596582,13.3017514039,0.5303152941770257,-0.33639558650637547
sub-019P,motor,4.191260644923529,1.9768506146796136,3.5363350944,1.8252720636,9.1865251201,0.8627522286163067,0.09475041280506957
sub-019P,salience,4.49696640237647,2.773932086771252,3.975612504,1.1319589861,10.1244040553,0.5309277258487175,-0.8250089462957302
sub-019P,visual,3.860852527388235,3.524871437813308,3.3427600882,0.8205347186,15.5278900295,2.1853785907562098,4.46887690053539
sub-023P,auditory,2.6835134879411764,1.4108699692820135,2.6895697326,0.6486036908,6.293765803,0.6206345616446955,0.31421123046882293
sub-023P,dmn,2.9672002319235298,1.5301132498969738,2.6137406091,1.3680280368,7.3162610105,1.5255895588646808,1.67745819120006
sub-023P,fpn,2.406065633988235,1.4940341532530674,1.7335238924,0.4223242881,5.7108404886,0.7788011339441331,-0.44376802809324545
sub-023P,limbic,3.7613811467058826,1.9568287153681516,3.8768595405,0.3357719882,8.7295060553,0.43039946963986475,0.6468088297012744
sub-023P,motor,2.578288365035294,1.982776964422692,2.0791357352,0.4479094339,7.6382178073,1.7758525522213287,2.143702196438727
sub-023P,salience,2.5797359994,1.428916823577191,2.2829931391,0.5174739244,6.4620957735,1.0007714298415464,0.8467570160934339
sub-023P,visual,3.1452508221470588,1.7316541337063471,3.0432244776,0.6761310625,5.8602667822,0.25359397812381057,-1.1115386127737268
sub-024P,auditory,3.455525028629412,2.134376040592011,2.9535065166,1.0283212044,9.4792061083,1.2689475815761346,1.3695202790009233
sub-024P,dmn,4.231725470847059,1.7172556918391046,3.8419721562,1.6089941777,8.6412042692,0.6528319216392262,0.3898378990351685
sub-024P,fpn,3.837098215788235,2.5983057774198124,2.7737798006,1.3583312843,11.1225587746,1.3667350375299254,1.164066359289997
sub-024P,limbic,4.925760848252942,3.3534108506729203,3.6876898879,1.0183092845,13.4327334183,1.206746110059274,0.6371818251798391
sub-024P,motor,4.370806885052941,2.6693631201383385,3.2878113442,0.5858552779,9.9397857271,0.5351258935002116,-0.8478799815286617
sub-024P,salience,2.187365879182353,1.1957145943251222,1.8892524103,0.3927027836,5.4532068117,1.0102259213354001,0.9245240551700213
sub-024P,visual,3.819384910652941,3.947750470965684,2.0106043498,0.8586369078,17.1451718073,2.2605962909007786,4.820536261521986
sub-030P,auditory,4.174189288311764,3.169738345342556,3.0938141445,1.1496213824,13.1917454747,1.53625083617567,1.5986296572349703
sub-030P,dmn,2.4759383245941176,0.8720219144911109,2.4905686748,0.754210364,4.3254110883,0.16886424749726164,-0.1010760476106225
sub-030P,fpn,2.710346651405882,1.9473653609930388,2.1325954319,0.6571165543,7.6465571535,0.9688560379642839,0.10708352078922845
sub-030P,limbic,4.700370550647058,2.2415595039183205,4.376870713,1.2199193689,11.1927528572,1.2055859264379996,1.8121216610184412
sub-030P,motor,2.8394873113294112,1.26918076508197,2.7585923835,1.1611930651,6.255535886,0.8417212751373783,0.7986181496706082
sub-030P,salience,5.070507538364706,2.7684956173556503,4.2995697215,1.4953239598,11.0007021419,0.7322213771387053,-0.48814437159084445
sub-030P,visual,2.150849917023529,1.3107868628414774,1.7375138275,0.7001312893,6.1560137092,1.7651512798421662,2.685864002472541
sub-039P,auditory,3.4046059950176475,1.7431268931553094,3.1587648576,1.2796124809,7.3540216468,0.7679762501761426,-0.42672826331445
sub-039P,dmn,3.181575957035294,1.2881354406284404,2.9775003626,1.480430928,6.431788355,0.7018160321654962,0.06497906463678849
sub-039P,fpn,3.0369830189058824,0.9431762306349158,3.0252181538,1.5796483776,4.4638544756,0.020880937237465588,-1.434234116412154
sub-039P,limbic,3.898419889464705,1.5113832257028612,4.5216757676,1.0592462362,5.9270264045,-0.5623842906124766,-1.1010699584919443
sub-039P,motor,3.8967356209117647,2.9179071894552653,3.1529691412,0.7637275727,12.1705330285,1.4836585733326368,1.5035985032477015
sub-039P,salience,4.3873489801,1.6440673039930664,4.3767677219,1.4763173553,7.1618641355,0.13695551479669135,-1.069221073672223
sub-039P,visual,2.795084102635294,1.954184575766018,2.219130572,0.77630763,8.7312947933,1.5662929318252472,2.415497758022333
sub-041P,auditory,7.4733478746,5.1207172960738365,5.2099366592,0.7655913262,18.0223185391,0.8064601247824703,-0.46535284901338425
sub-041P,dmn,5.422832836617648,2.3264213638940543,4.9933835512,2.4685378636,11.9672107768,1.3273870053597834,1.330728015942162
sub-041P,fpn,4.974253074417646,5.444982900528811,3.0412390164,1.5303379428,24.2523613149,2.630098872341251,6.403965154680369
sub-041P,limbic,7.155165576576471,4.813276622785045,5.0344276359,1.8923028978,16.4700243307,0.6614743047739037,-1.037438216918315
sub-041P,motor,3.6735836372588233,2.1806038431459633,2.8495082544,1.115065588,8.7400717838,0.8945064774340312,-0.3883804126018884
sub-041P,salience,5.483027506652941,3.054229247676822,4.7645764187,1.7259592648,12.4759019353,0.9602036459485597,-0.12485933618795508
sub-041P,visual,5.632015877394117,3.764693929687284,3.9516731819,0.8661393327,14.3393703119,0.7980784323289454,-0.34186707713436926
sub-043P,auditory,3.102642999247059,1.6045474216549682,2.6339379844,1.4623091046,7.4462951368,1.3459495175990168,1.051473091575863
sub-043P,dmn,2.814499687547059,1.0976024754408358,3.1105516403,0.8983391013,4.7317971011,-0.008055739011069197,-0.8013428534447864
sub-043P,fpn,3.3096051768941175,1.9318301594863847,2.8236617485,0.8440618588,7.8759298991,0.7796017671569271,-0.11734448026741973
sub-043P,limbic,3.367422751529412,1.1700915804835237,3.1755321777,1.5286008571,5.0980868161,-0.10768930380272292,-1.3257663475856938
sub-043P,motor,3.096893263617647,2.244853802328699,2.8423915228,0.5611210062,8.9422630792,1.0361238452857378,0.41087248732559933
sub-043P,salience,3.347181882435294,1.9806947260156422,2.6956713604,0.2136685838,6.8412996351,0.2382834599754645,-1.1718678808904535
sub-043P,visual,3.819729647229412,2.4054382966059773,3.733441937,0.7066374837,9.313020757,0.6117713913088519,-0.6030572882254899
sub-045P,auditory,5.301856344211764,2.2323178892379945,5.8612220086,1.6129901385,8.9541646858,-0.1639980634017658,-1.0712041902214011
sub-045P,dmn,6.11371184722353,1.9826154245846836,6.1253834692,2.9670086885,10.973542451,0.4475160263720212,0.12321234560762484
sub-045P,fpn,4.210158861158824,2.1064109550977865,3.9432648957,1.1394647047,8.0938542875,0.288513833223033,-1.0679177010945713
sub-045P,limbic,4.722039671194118,2.9573464583081677,3.2088595412,1.5034617858,11.1022484751,1.0289032658354325,-0.22497814502339075
sub-045P,motor,7.729542250805883,5.073628667563283,6.2868981916,1.159259625,18.1952218069,0.3925887731621914,-0.9727842037371461
sub-045P,salience,4.985352035011765,2.439868180403988,5.1288363898,0.9896608169,11.2623957904,0.6392071235576152,0.6092372821933476
