subject,roi,freq_0.112179,freq_0.113782,freq_0.115385,freq_0.116987,freq_0.118590,freq_0.120192,freq_0.121795,freq_0.123397,freq_0.125000
sub-015P,auditory,2.569194406198611,4.618831787773993,4.469773430774885,1.6937983587332022,3.433037837947339,7.860447766359654,5.795991708835901,11.683699743978643,6.142956055865218
sub-015P,dmn,9.508591313427361,3.726395344516828,4.037682186654419,5.272687728683954,5.448723770554623,4.2177869320196875,3.2036940246100905,4.865345509645857,6.608911467321813
sub-015P,fpn,1.799710819364355,3.0232409478478255,7.921773674540924,6.290018483527175,1.6986895751924915,1.5507535363775915,2.438062720967078,1.7000343826804212,1.704987327725656
sub-015P,limbic,1.5094373985039964,3.236281731066451,6.921448868093007,3.5675332680550715,3.5697615978227377,2.080785849268896,2.973543936450643,3.8306474707315545,2.682062599951977
sub-015P,motor,8.525903246853586,2.9290042384782202,5.084915089145552,5.767066386774428,8.398921439983594,7.854568764151827,6.99847752153544,6.268549655318217,2.464411742507386
sub-015P,salience,6.229256624000983,6.210170563464565,6.142207453596085,1.8949250092876015,4.755923221637345,4.94644326003103,5.122817947209949,7.722856159463429,3.862512473912575
sub-015P,visual,3.2890192423122704,8.957744711567562,15.05563560801989,4.963367397566406,1.4926424842761639,1.6833115083861379,1.565924214532171,4.127685219567573,4.12247485046643
sub-016P,auditory,3.974689115933211,4.973074474133403,2.5833279381625407,1.7029210386880582,3.56833370120119,0.3088345520633874,1.5433327993921346,4.089423924882274,1.694893423626749
sub-016P,dmn,4.73004602363761,4.419083444292444,3.721005442852107,3.5922370714194365,3.4895271865163964,3.169900609342463,0.7954350702196642,1.5546792201800381,2.777740566677654
sub-016P,fpn,4.97905989901344,7.116695871204708,10.405376169095549,6.91089809745265,2.840936367102466,1.6663691340750084,2.5485977178336734,7.2518737335701635,3.212770214460982
sub-016P,limbic,1.2776542816522087,2.6711344116957725,4.992470240407017,1.7603555226769678,2.4314096061883967,1.695310495406462,3.043448434253282,5.1989022540377166,2.1222583209515347
sub-016P,motor,2.028528203817086,4.969964690323119,4.54301041591144,1.0460064425928466,1.7049146502069605,2.2560895073163754,2.4749175365677245,2.3953279494247965,2.9929173281784855
sub-016P,salience,1.8124071972495321,2.0478968216453137,5.909071169411495,5.518963884831102,2.2805044751266887,0.8337526648582176,2.45486556010765,6.604430235203621,4.977494589658285
sub-016P,visual,6.149692592082832,8.367479582701666,6.031415726919851,1.4236972710975908,4.904331494884503,3.2084815995149993,1.0425832209529884,0.4901018383507744,5.330483907487649
sub-018P,auditory,4.736583951455616,1.4597363861138788,5.439848208493678,4.802921109055804,6.438219533368484,2.8109157892891456,5.889844095660078,2.247290404911189,2.5077608965320346
sub-018P,dmn,3.12925644440595,2.2444573659047578,1.5030958654762383,2.2608212651290587,13.137358399801741,7.145958533852975,0.6852879271473018,1.3000965720290265,1.384008431670816
sub-018P,fpn,0.9724201113952808,3.2565030075723245,8.093055474948635,2.797215414418401,1.6897138815056492,2.606304256435089,1.5623455097401864,3.0912027804828837,1.299706217366337
sub-018P,limbic,2.453475808860524,1.496802850592604,3.5887327184899243,7.130400341722365,2.6789204967972315,2.3252731236874484,2.7070720266622503,1.3280174754715068,3.8614843142771105
sub-018P,motor,5.52640683717234,3.6513475975095417,14.187089227119854,3.6793126148213084,3.197890612176651,1.1247776179002176,0.8436374405985829,2.1257649827264053,1.4323049745961438
sub-018P,salience,2.7013210247847144,1.1268383349477897,3.6183756057741787,1.224715673338315,4.170220979101563,3.53831433435205,2.8561821469159474,3.9664263926855496,2.148270155637904
sub-018P,visual,7.799540311533994,11.409023017577969,27.901085677977328,6.2112310928487595,0.742329142262421,2.1065674082831203,2.4291056399217963,2.241424600621573,2.867039376072728
sub-019P,auditory,4.444939455618956,1.1236444137702384,3.0433546979308312,3.963094899501104,2.7286815060491256,3.3833721356566038,5.531136153734728,5.403467742020251,4.56376156539549
sub-019P,dmn,5.192173279148063,8.932106856142783,15.550676908918021,5.700131088719089,1.7375128544570495,1.5309963652728242,3.5386694344930576,5.360451174198005,1.80103313625877
