,,ACW_50,ACW_0,ACW_Nadir
sub-023P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 8.0]","[4.0, 4.0, 8.0, 4.0]"
sub-024P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 6.0, 6.0]","[8.0, 10.0, 8.0, 12.0]"
sub-024P,visual,"[2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]","[12.0, 12.0, 10.0, 10.0, 10.0, 12.0, 12.0, 10.0, 12.0, 12.0]","[14.0, 24.0, 4.0, 6.0, 14.0, 16.0, 4.0, 20.0, 4.0, 6.0]"
sub-024P,motor,"[2.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 4.0, 4.0]","[6.0, 8.0, 4.0, 4.0]"
sub-024P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 12.0, 4.0, 12.0]","[2.0, 2.0, 8.0, 12.0, 6.0, 20.0]"
sub-024P,fpn,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 8.0]","[2.0, 2.0, 6.0, 12.0]"
sub-024P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 2.0, 2.0]","[4.0, 4.0, 2.0, 2.0]"
sub-024P,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 4.0]"
sub-030P,auditory,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 6.0, 6.0]","[8.0, 8.0, 8.0, 8.0]"
sub-030P,visual,"[6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[12.0, 10.0, 10.0, 10.0, 8.0, 10.0, 10.0, 10.0, 12.0, 6.0]","[30.0, 16.0, 16.0, 12.0, 12.0, 12.0, 12.0, 12.0, 16.0, 12.0]"
sub-030P,motor,"[4.0, 2.0, 4.0, 2.0]","[10.0, 8.0, 8.0, 6.0]","[12.0, 12.0, 12.0, 8.0]"
sub-030P,dmn,"[4.0, 4.0, 4.0, 2.0, 2.0, 4.0]","[8.0, 12.0, 8.0, 8.0, 6.0, 12.0]","[12.0, 8.0, 12.0, 8.0, 8.0, 8.0]"
sub-030P,fpn,"[2.0, 4.0, 4.0, 4.0]","[12.0, 12.0, 8.0, 10.0]","[8.0, 16.0, 8.0, 16.0]"
sub-030P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 12.0, 12.0]","[4.0, 8.0, 12.0, 4.0]"
sub-030P,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 12.0, 8.0, 6.0]","[4.0, 4.0, 10.0, 6.0]"
sub-039P,auditory,"[2.0, 2.0, 2.0, 2.0]","[6.0, 8.0, 8.0, 8.0]","[8.0, 8.0, 4.0, 8.0]"
sub-039P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 6.0, 6.0, 8.0, 8.0, 6.0, 4.0, 6.0, 4.0]","[8.0, 8.0, 12.0, 12.0, 8.0, 8.0, 12.0, 8.0, 12.0, 8.0]"
sub-039P,motor,"[2.0, 2.0, 2.0, 2.0]","[6.0, 8.0, 6.0, 4.0]","[8.0, 12.0, 8.0, 4.0]"
sub-039P,dmn,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0]","[4.0, 4.0, 6.0, 6.0, 6.0, 8.0]","[4.0, 4.0, 8.0, 8.0, 8.0, 16.0]"
sub-039P,fpn,"[2.0, 2.0, 2.0, 4.0]","[8.0, 8.0, 6.0, 8.0]","[12.0, 4.0, 12.0, 12.0]"
sub-039P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 4.0]","[6.0, 8.0, 4.0, 4.0]"
sub-039P,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0]","[2.0, 4.0, 4.0, 8.0]"
sub-041P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 8.0]"
sub-041P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 2.0, 2.0, 8.0, 2.0, 2.0, 2.0, 2.0, 4.0]","[4.0, 4.0, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0, 4.0, 4.0]"
sub-041P,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 8.0]","[4.0, 6.0, 8.0, 8.0]"
sub-041P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 4.0, 4.0, 4.0, 6.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 8.0]"
sub-041P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-041P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
