,,ACW_50,ACW_0,ACW_Nadir
sub-008P,limbic,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 2.0, 2.0]"
sub-010P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 4.0, 4.0]","[2.0, 4.0, 4.0, 4.0]"
sub-010P,visual,"[4.0, 4.0, 2.0, 2.0, 4.0, 2.0, 4.0, 2.0, 2.0, 2.0]","[8.0, 12.0, 4.0, 6.0, 8.0, 10.0, 8.0, 10.0, 8.0, 4.0]","[14.0, 6.0, 6.0, 6.0, 8.0, 14.0, 8.0, 16.0, 14.0, 6.0]"
sub-010P,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-010P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 6.0, 6.0, 6.0, 6.0, 6.0]"
sub-010P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-010P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-010P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 6.0]","[8.0, 4.0, 8.0, 6.0]"
sub-014P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 8.0, 8.0]","[4.0, 8.0, 4.0, 8.0]"
sub-014P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 4.0, 4.0, 12.0, 12.0, 8.0, 4.0, 12.0, 10.0]","[12.0, 4.0, 4.0, 4.0, 16.0, 8.0, 4.0, 4.0, 4.0, 4.0]"
sub-014P,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 4.0]","[4.0, 6.0, 8.0, 4.0]"
sub-014P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 4.0, 6.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 8.0, 4.0, 6.0]"
sub-014P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 14.0]"
sub-014P,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 12.0, 8.0]","[2.0, 4.0, 4.0, 4.0]"
