Unnamed: 1,mean,median,std,variance,iqr,min,max
auditory,5.285714285714286,5.0,1.8410012803596074,3.389285714285714,2.0,3.0,10.5
dmn,6.666666666666667,7.333333333333333,2.221110833194358,4.9333333333333345,3.666666666666666,3.0,9.666666666666666
fpn,6.333333333333333,7.0,2.0453198608856593,4.183333333333334,3.5,3.0,9.5
limbic,4.738095238095238,4.0,1.9597132929273586,3.840476190476191,2.5,2.5,11.0
motor,6.5476190476190474,6.0,2.706033822334645,7.322619047619048,4.5,2.5,11.5
salience,4.238095238095238,4.0,1.3840072942279569,1.9154761904761906,1.0,2.5,8.0
visual,8.704761904761906,9.6,4.080989609209535,16.654476190476192,4.800000000000001,2.4,17.2
