Unnamed: 1,mean,median,std,variance,iqr,min,max
auditory,5.476190476190476,5.0,2.124124469494375,4.511904761904761,3.5,2.5,11.0
dmn,5.666666666666667,6.0,1.834847859269718,3.3666666666666663,2.666666666666667,2.0,8.666666666666666
fpn,5.880952380952381,6.0,2.4078245466850463,5.797619047619048,4.0,2.0,9.5
limbic,5.357142857142857,4.5,2.7346976850415166,7.47857142857143,2.0,2.0,13.0
motor,6.214285714285714,7.0,2.211172927268628,4.889285714285714,3.5,2.0,9.5
salience,4.666666666666667,4.0,1.899561352874219,3.608333333333333,2.0,2.0,8.0
visual,7.438095238095237,8.2,2.496092183889888,6.230476190476191,3.2,2.2,10.6
