Unnamed: 1,mean,median,std,variance,iqr,min,max
auditory,6.238095238095238,6.0,1.813966976126134,3.2904761904761903,2.0,4.0,10.0
dmn,6.809523809523809,7.0,1.0358647947564745,1.0730158730158732,1.333333333333333,4.333333333333333,9.333333333333334
fpn,7.357142857142857,7.5,1.1741258146261109,1.3785714285714286,1.5,5.5,10.0
limbic,5.5,5.0,1.695582495781317,2.875,1.5,3.0,11.0
motor,8.023809523809524,8.0,2.052292562454184,4.211904761904762,3.0,4.5,12.0
salience,6.285714285714286,6.0,1.6550787637709918,2.7392857142857148,2.5,4.0,11.0
visual,9.276190476190477,9.6,1.4035329571851038,1.9699047619047623,1.4000000000000004,6.2,11.4
