Unnamed: 1,mean,median,std,variance,iqr,min,max
auditory,5.894736842105263,6.0,1.4679818664526882,2.154970760233918,1.75,3.0,9.5
dmn,6.175438596491228,6.0,1.307001190420607,1.7082521117608838,1.333333333333333,3.333333333333333,9.0
fpn,6.7105263157894735,7.5,2.1233869006435357,4.508771929824561,3.25,3.5,10.5
limbic,5.2894736842105265,4.5,1.9530303339631254,3.814327485380117,2.25,2.0,9.0
motor,6.078947368421052,6.0,1.7580225467421633,3.0906432748538015,2.25,2.0,9.0
salience,4.684210526315789,4.0,1.725708600963267,2.978070175438596,2.5,2.0,8.5
visual,7.778947368421053,7.6,2.480944924680563,6.155087719298244,3.3000000000000007,3.2,11.6
