Group,mean,median,std,variance,iqr,min,max
HC,1.3974680763508938,1.4309523809523808,0.32735589119436664,0.10716187949965802,0.42593984962406006,0.775,2.030769230769231
MDD,1.3330450976898345,1.3009090909090912,0.39308796952047276,0.15451815178172812,0.3941295546558705,0.6000000000000001,2.2363636363636363
SZ,1.2954884356086969,1.2666666666666666,0.45035005851916216,0.20281517520821277,0.37980107985223066,0.4571428571428572,2.4857142857142853
