Feature Set,Best Parameters,Cross-validation Accuracy,LOOCV Accuracy,95% Confidence Interval,Correct Predictions,Key Feature Importance
Salience,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.763,0.763,"[0.628, 0.898]",29 / 38,Salience: 1.620
DMN,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.763,0.763,"[0.628, 0.898]",29 / 38,DMN: 1.619
