,,ACW_50,ACW_0,ACW_Nadir
sub-013C,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 6.0, 8.0]","[4.0, 4.0, 8.0, 10.0]"
sub-014C,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 8.0]"
sub-014C,visual,"[6.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 10.0, 6.0, 12.0, 12.0, 10.0, 8.0, 8.0, 8.0]","[28.0, 20.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 8.0, 12.0]"
sub-014C,motor,"[4.0, 2.0, 4.0, 2.0]","[12.0, 8.0, 12.0, 8.0]","[24.0, 12.0, 16.0, 4.0]"
sub-014C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0]","[6.0, 4.0, 6.0, 6.0, 12.0, 8.0]","[8.0, 8.0, 6.0, 8.0, 6.0, 8.0]"
sub-014C,fpn,"[2.0, 2.0, 2.0, 4.0]","[8.0, 8.0, 8.0, 10.0]","[8.0, 8.0, 4.0, 12.0]"
sub-014C,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 6.0, 4.0]","[8.0, 4.0, 8.0, 4.0]"
sub-014C,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 8.0]"
sub-015C,auditory,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 6.0, 8.0]","[2.0, 6.0, 8.0, 12.0]"
sub-015C,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 4.0, 4.0, 8.0, 12.0, 4.0, 4.0, 8.0, 10.0]","[4.0, 4.0, 4.0, 4.0, 16.0, 4.0, 4.0, 4.0, 16.0, 4.0]"
sub-015C,motor,"[2.0, 2.0, 2.0, 2.0]","[10.0, 6.0, 12.0, 10.0]","[4.0, 8.0, 4.0, 4.0]"
sub-015C,dmn,"[4.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 4.0, 4.0, 10.0, 12.0]","[12.0, 10.0, 8.0, 8.0, 6.0, 4.0]"
sub-015C,fpn,"[2.0, 2.0, 2.0, 4.0]","[12.0, 8.0, 6.0, 6.0]","[8.0, 12.0, 8.0, 12.0]"
sub-015C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 6.0, 4.0]","[4.0, 4.0, 12.0, 10.0]"
sub-015C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-016C,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 8.0]"
sub-016C,visual,"[4.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]","[10.0, 12.0, 12.0, 12.0, 8.0, 6.0, 12.0, 10.0, 10.0, 8.0]","[16.0, 14.0, 6.0, 12.0, 8.0, 8.0, 12.0, 18.0, 18.0, 8.0]"
sub-016C,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 6.0]","[4.0, 8.0, 8.0, 8.0]"
sub-016C,dmn,"[4.0, 4.0, 2.0, 2.0, 4.0, 4.0]","[8.0, 8.0, 4.0, 6.0, 8.0, 8.0]","[12.0, 12.0, 4.0, 8.0, 14.0, 20.0]"
sub-016C,fpn,"[2.0, 2.0, 2.0, 2.0]","[6.0, 8.0, 6.0, 8.0]","[8.0, 12.0, 8.0, 8.0]"
sub-016C,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 8.0, 8.0]","[8.0, 8.0, 8.0, 8.0]"
sub-016C,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-017C,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0]","[8.0, 8.0, 12.0, 12.0]"
sub-017C,visual,"[4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 10.0, 4.0, 8.0, 8.0, 10.0, 4.0, 12.0, 10.0]","[12.0, 12.0, 4.0, 4.0, 12.0, 12.0, 4.0, 4.0, 12.0, 4.0]"
sub-017C,motor,"[2.0, 2.0, 2.0, 2.0]","[10.0, 4.0, 2.0, 2.0]","[12.0, 6.0, 2.0, 2.0]"
sub-017C,dmn,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0]","[8.0, 8.0, 8.0, 8.0, 8.0, 10.0]","[8.0, 8.0, 8.0, 8.0, 8.0, 12.0]"
sub-017C,fpn,"[2.0, 2.0, 2.0, 2.0]","[12.0, 8.0, 6.0, 6.0]","[2.0, 8.0, 8.0, 14.0]"
sub-017C,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 8.0, 8.0]","[2.0, 2.0, 4.0, 4.0]"
sub-017C,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 2.0, 8.0, 12.0]","[12.0, 2.0, 12.0, 2.0]"
sub-018C,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 6.0, 4.0]","[4.0, 6.0, 6.0, 4.0]"
sub-018C,visual,"[4.0, 4.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 2.0, 2.0]","[10.0, 12.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 12.0, 6.0]","[20.0, 16.0, 14.0, 16.0, 20.0, 18.0, 20.0, 16.0, 16.0, 8.0]"
sub-018C,motor,"[2.0, 2.0, 2.0, 2.0]","[12.0, 8.0, 10.0, 8.0]","[16.0, 16.0, 4.0, 12.0]"
sub-018C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 6.0, 6.0, 6.0, 6.0]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
sub-018C,fpn,"[2.0, 2.0, 2.0, 4.0]","[10.0, 12.0, 6.0, 8.0]","[12.0, 12.0, 8.0, 8.0]"
sub-018C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 10.0, 10.0]","[4.0, 8.0, 12.0, 12.0]"
sub-018C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 8.0, 4.0, 4.0]"
sub-019C,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-019C,visual,"[2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 6.0, 8.0, 12.0, 10.0, 8.0, 8.0, 12.0, 8.0]","[12.0, 12.0, 8.0, 12.0, 8.0, 12.0, 12.0, 8.0, 12.0, 8.0]"
sub-019C,motor,"[2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 12.0, 12.0]","[12.0, 8.0, 8.0, 8.0]"
