Unnamed: 1,mean,median,std,variance,iqr,min,max
auditory,6.075,6.0,1.6957764872579293,2.875657894736842,2.125,4.0,10.0
dmn,6.8166666666,7.0,1.0622441211683524,1.1283625729567255,1.3333333329999997,4.333333333,9.333333333
fpn,7.35,7.25,1.2041594578792296,1.45,1.5,5.5,10.0
limbic,5.225,5.0,1.163875106339978,1.3546052631578949,1.625,3.0,7.5
motor,8.05,8.0,2.1020040562833318,4.4184210526315795,3.0,4.5,12.0
salience,6.175,6.0,1.6163229875244616,2.6125000000000007,2.125,4.0,11.0
visual,9.27,9.6,1.4397002612020542,2.072736842105263,1.5999999999999996,6.2,11.4
