Unnamed: 1,mean,median,std,variance,iqr,min,max
auditory,4.916666666666667,4.75,1.4374200745044001,2.0661764705882355,2.0,3.0,8.0
dmn,6.2592592592592595,6.0,2.131480677027876,4.543209876543211,3.416666666666668,3.0,9.333333333333334
fpn,6.0,6.75,1.9778181680534621,3.911764705882353,3.375,3.0,9.0
limbic,4.361111111111111,4.0,1.3912072154570898,1.9354575163398693,1.5,2.5,7.5
motor,6.444444444444445,6.25,2.6228009774514462,6.879084967320261,4.75,2.5,10.5
salience,3.861111111111111,4.0,0.8008369804654664,0.6413398692810458,0.875,2.5,5.5
visual,8.177777777777777,8.5,4.035658056341297,16.286535947712416,5.3,2.4,17.2
