Unnamed: 1,mean,median,std,variance,iqr,min,max
auditory,5.361111111111111,5.0,2.1475400123339177,4.6119281045751634,3.375,2.5,11.0
dmn,5.481481481481482,5.166666666666666,1.907063657499282,3.6368917937545393,2.833333333333334,2.0,8.666666666666666
fpn,5.611111111111111,5.0,2.434769922428688,5.928104575163398,4.0,2.0,9.5
limbic,5.138888888888889,4.5,2.710575994548432,7.347222222222222,1.375,2.0,13.0
motor,6.138888888888889,7.0,2.254443687446923,5.08251633986928,2.875,2.0,9.5
salience,4.416666666666667,4.0,1.8169949334643984,3.301470588235294,3.0,2.0,8.0
visual,7.122222222222222,7.8,2.54848410664655,6.4947712418300645,3.8000000000000007,2.2,10.6
